problem,method,iter,nfev,ngev,cpu,f_final,grad_norm_final
P4_quad_1000_1000,DFP_wolf,4121,1161481,856198,600.0483102499275,-64604.94204615991,4.1777940816162165e-06
P4_quad_1000_1000,LBFGS_armijo,5000,179957,5002,40.39635845890734,-64604.94204615634,9.721360822982718e-06
P4_quad_1000_1000,LBFGS_wolf,846,496680,253096,91.30893649999052,-64604.9420461603,4.503761370437599e-07
P5_quartic_1,GD_armijo,5,13,5,0.0009797080419957638,7.920474761949685e-20,3.9800690350670265e-10
P5_quartic_1,GD_wolf,4,10,10,0.0010618750238791108,8.070741959414834e-36,4.017646564698003e-18
P5_quartic_1,ModifiedNewton_armijo,4,10,4,0.0008870839374139905,6.71981874941221e-29,1.1592945052412014e-14
P5_quartic_1,ModifiedNewton_wolf,4,10,10,0.0020475840428844094,6.71981874941221e-29,1.1592945052412014e-14
P5_quartic_1,NewtonCG_armijo,4,10,4,0.0005677080480381846,6.272666515777639e-29,1.1200595087563552e-14
P5_quartic_1,NewtonCG_wolf,4,10,10,0.0005609160289168358,6.272666515777639e-29,1.1200595087563552e-14
P5_quartic_1,BFGS_armijo,6,18,7,0.0005072909407317638,2.2728773071757258e-15,6.742221158009764e-08
P5_quartic_1,BFGS_wolf,6,18,19,0.0004111670423299074,2.2728773071757258e-15,6.742221158009764e-08
P5_quartic_1,DFP_armijo,7,21,8,0.00030920805875211954,1.6818125344265296e-17,5.799676774487574e-09
P5_quartic_1,DFP_wolf,7,21,22,0.0003614579327404499,1.6818125344265296e-17,5.799676774487574e-09
P5_quartic_1,LBFGS_armijo,6,18,7,0.0002899999963119626,2.875704704106579e-23,7.583804723364888e-12
P5_quartic_1,LBFGS_wolf,6,18,19,0.00040420901495963335,2.875704704106579e-23,7.583804723364888e-12
P6_quartic_2,GD_armijo,5000,15022,5001,0.09067158296238631,15080.341044832747,128159.32198920367
P6_quartic_2,GD_wolf,20,294,58,0.0011247500078752637,2.4154401618842688e-05,0.008056966936202382
P6_quartic_2,ModifiedNewton_armijo,17,49,17,0.001164665911346674,5.89576585891976e-05,0.05947298649322509
P6_quartic_2,ModifiedNewton_wolf,17,49,49,0.0009494159603491426,5.89576585891976e-05,0.05947298649322509
P6_quartic_2,NewtonCG_armijo,17,49,17,0.0015550830867141485,5.8957658589213646e-05,0.059472986493238664
P6_quartic_2,NewtonCG_wolf,17,49,49,0.005117541993968189,5.8957658589213646e-05,0.059472986493238664
P6_quartic_2,BFGS_armijo,24,148,25,0.0010845420183613896,0.005285563025578893,1.9830509190492855
P6_quartic_2,BFGS_wolf,24,148,73,0.0011426249984651804,0.005285563025578893,1.9830509190492855
P6_quartic_2,DFP_armijo,5000,15024,5002,0.15607387491036206,3.4393713763344347,263.4674029879928
P6_quartic_2,DFP_wolf,5000,15024,15004,0.1529610410798341,3.4393713763344347,263.4674029879928
P6_quartic_2,LBFGS_armijo,21,84,22,0.000861415988765657,0.03966054765716504,2.9801651059848457
P6_quartic_2,LBFGS_wolf,21,84,64,0.0009669999126344919,0.03966054765716504,2.9801651059848457
P7_Rosenbrock_2,GD_armijo,5000,16791,5001,0.16158608300611377,6.516417466212768e-08,0.00022891480812067618
